"","unique(gpsdata$AnimalID)"
"1",140560
"2",140910
"3",141490
"4",140040
"5",140050
"6",140060
"7",140070
"8",140100
"9",140120
"10",140290
"11",140300
"12",140320
"13",140340
"14",140360
"15",150360
"16",140380
"17",140400
"18",140480
"19",140600
"20",140630
"21",140650
"22",140680
"23",140710
"24",140800
"25",140850
"26",140890
"27",140900
"28",140920
"29",150920
"30",140930
"31",140960
"32",140980
"33",141000
"34",141010
"35",141060
"36",141070
"37",141080
"38",141090
"39",141100
"40",141110
"41",151110
"42",141120
"43",141130
"44",141150
"45",141160
"46",141170
"47",151170
"48",141180
"49",141200
"50",151200
"51",141210
"52",141220
"53",151220
"54",141260
"55",141290
"56",141300
"57",151300
"58",141340
"59",141380
"60",151380
"61",141400
"62",141420
"63",141470
"64",141500
"65",151500
"66",141520
"67",141560
"68",141570
"69",151570
"70",141580
"71",151580
"72",141610
"73",141630
"74",140940
