"AnimalID","spr14vi","fall14vi","spr15vi","fall15vi"
141180,0,0,0,NA
140100,0.438781387571915,0.0319833237436368,0.14066309499494,NA
141340,0,0,0,NA
141470,0,0,0.0113884319609738,NA
141160,0,0,0,NA
141520,0.00928549071396893,0.0121869004624332,2.40763674206895e-06,NA
141610,0.0541176394684132,0.120398536132378,0.141144494812504,NA
141000,0.0829448768367277,0.096077305119097,0.0314579360007841,NA
140120,0.0585504262743254,1.6001420658332e-05,0,NA
140040,0.062411894624292,0.0122525612158396,0,0
140060,0.0483101628200073,0.388176644241061,0.257795574189052,0.313205856329538
140070,0.53524978011752,0.736857696896306,0.694826224629853,0.540861204886521
140290,0.000294529210506222,0.250600726334802,0.260784066383523,0.0472241883195049
140300,0,0,0,0.000431572790072924
140320,0.0308950936351652,0.148456654478026,0.289389235559227,0.0253361361870885
140340,0,1.66779901625467e-07,5.12665722464318e-06,0
140400,0.0221418875016506,0.344331576213114,0.315979354470674,0.300922339012085
140560,0,1.12783003499542e-05,2.39758485828258e-05,0.122155984020233
140600,0.0808048570299386,0.285579020780527,0.377952096399628,0.264114858024725
140630,0.207862956407001,0.326645419068203,0.333138520055124,0.0434617400466992
140650,0.530295648620065,0.731259260308338,0.527712586126551,0.452069338106352
140680,0.0928750404868497,0.105427398049783,0.0354003062828879,0.0532642263846103
140710,0.0481589871453609,0.303351800607977,0.27962853581922,0.280526926134763
140800,0,0,0,0.189908985727781
140850,1.47845282625896e-07,6.80528193267256e-06,0.000418183736757585,0.00481429157095635
140890,0.0904932744504816,0.191865165955973,0.37322402573118,0.230021895555392
140940,0.34457438439919,0.422045776615298,0.351651821011296,0.231754978296453
140960,0.244042997255956,0.297567688103611,0.287362955037606,0.275009824095474
140980,0.0427993068082059,5.14283659997615e-07,2.45362108267093e-05,0.0411794852870537
141010,0.0269767303497744,0,6.61554772073635e-07,0.00165586406864671
141060,0.197090854391058,0.299277433685926,0.288365337978936,0.339422593729478
141070,0.138620266965752,0.369542222892643,0.414995491413475,0.239379666409946
141080,0.13088167007949,0.323853227061568,0.319386818314006,0.330138924004595
141100,0.0490492205810685,0.378198941736209,0.269401834783204,0.287257571251827
141120,0,2.90336318070013e-06,2.02271150189838e-05,2.63572814328455e-06
141130,0.026466654991806,0.0407790727653636,0.364526796956313,0.269505230093788
141150,0.000549094454392777,0,0,0
141260,0.0174554533523928,0.0260679550488782,0.0202644656532047,0.0148176331534721
141490,0.251786218043188,0.326660810015088,0.407658803645595,0.23389445249628
141560,0,0.0433870245846926,0.0229592998804822,0.000594182872969718
140050,0.183685944923195,0.286033526958729,0.305245586497491,0.0996622048546718
140380,0.457914736496204,0.728911656913336,0.674083855221316,0.537597838826259
140480,0.323472439911169,0.428611215599743,0.492992251979434,0.392795663476119
140910,0.0128326968208721,0.0069506244336262,0.0114262822317687,0.112624934421929
141210,0.449377152705902,NA,NA,NA
141170,0.019977003539243,NA,NA,NA
141570,0,NA,NA,NA
141300,0,NA,NA,NA
141110,0.0760106407943833,NA,NA,NA
141290,0.00039130996522657,NA,NA,NA
141630,0.0270134263852705,NA,NA,NA
141200,0.00659338008323412,NA,NA,NA
141220,0.0599254468746062,NA,NA,NA
140360,0.0134111378490165,NA,NA,NA
141500,0,NA,NA,NA
141580,8.93280807802125e-05,NA,NA,NA
140920,0.268295052690843,NA,NA,NA
141380,0,NA,NA,NA
141400,3.92082188616576e-06,NA,NA,NA
140900,0.204186313066782,NA,NA,NA
141090,0.550617966661327,NA,NA,NA
151580,NA,NA,0.0212016734194612,NA
151220,NA,NA,0.00995880542087394,NA
151170,NA,NA,0.26091116957081,NA
151380,NA,NA,0,NA
151300,NA,NA,0.206114478858649,NA
151110,NA,NA,0.318148157245172,NA
150360,NA,NA,0.0195887600309213,9.22276054586499e-07
150920,NA,NA,0.0563374272540102,0.0178208595215274
151200,NA,NA,0.00618906322188615,0.00504165030059305
151570,NA,NA,2.56876662747641e-07,0
