"","AnimalID","spr14ao"
"1",141210,0.476736501299534
"2",141170,0.0444197019163665
"3",141570,0
"4",141300,0
"5",141110,0.0924978019077366
"6",141290,0.359162212432374
"7",141630,0.364901726072411
"8",141200,0.641919724099853
"9",141220,0.658353986230695
"10",140360,0.126258573469847
"11",141500,0
"12",141580,0
"13",140920,0.404693306486769
"14",141380,0
"15",141400,0
"16",140900,0.164068517507404
"17",141090,0.944576628303954
"18",141180,0
"19",140100,0.538975811381306
"20",141340,0
"21",141470,0.228388793834148
"22",141160,0
"23",141520,0.0445193539484306
"24",141610,0.642799801775287
"25",141000,0.318986495630768
"26",140120,0.44100966027071
"27",140040,0.20734641559548
"28",140060,0.0308098789569772
"29",140070,0.788077779142182
"30",140290,0.153393581360422
"31",140300,0
"32",140320,0.0641613840077227
"33",140340,0
"34",140400,0.417353606123716
"35",140560,0
"36",140600,0.0673005176397164
"37",140630,0.331906650256587
"38",140650,0.975758897604345
"39",140680,0.593353522247347
"40",140710,0.430984698594603
"41",140800,0
"42",140850,0
"43",140890,0.189627698140013
"44",140940,0.629653675212942
"45",140960,0.470774397774455
"46",140980,0.164307648411277
"47",141010,0.220440001059014
"48",141060,0.594168825622257
"49",141070,0.187883996032651
"50",141080,0.541746432004307
"51",141100,0.468349050720737
"52",141120,0
"53",141130,0.0107111624955379
"54",141150,0.00455508951652303
"55",141260,0.00488927049607078
"56",141490,0.161829722454145
"57",141560,0
"58",140050,0.327925161474073
"59",140380,0.8069369892451
"60",140480,0.811423596715475
"61",140910,0.0249604107353008
