"AnimalID","SprVI","IndivYr","Sex"
141110,0.0277653675480775,"141110-14","Female"
140360,0.0679502016497879,"140360-14","Female"
140920,0.375239178947381,"140920-14","Female"
140900,0.103499715421687,"140900-14","Female"
141090,0.649889003331448,"141090-14","Female"
140100,0.340505510446759,"140100-14","Female"
141160,0,"141160-14","Female"
141000,0,"141000-14","Female"
140120,0.0369568752564337,"140120-14","Female"
140040,0.0491154945671427,"140040-14","Female"
140060,0.00272568439954882,"140060-14","Female"
140070,0.671602567227348,"140070-14","Female"
140290,0.105414772764206,"140290-14","Female"
140300,0,"140300-14","Female"
140320,0.0152514952577481,"140320-14","Female"
140340,0,"140340-14","Female"
140400,0.251280377151462,"140400-14","Female"
140560,0,"140560-14","Female"
140600,0.032563931451898,"140600-14","Female"
140630,0.194133078908017,"140630-14","Female"
140650,0.623359725030806,"140650-14","Female"
140680,0.0233887706899153,"140680-14","Female"
140710,0.218104308833388,"140710-14","Female"
140800,0,"140800-14","Female"
140850,0,"140850-14","Female"
140890,0.0285537516888567,"140890-14","Female"
140940,0.2707172919668,"140940-14","Female"
140960,0.245799798333959,"140960-14","Female"
140980,0.0308465593678734,"140980-14","Female"
141010,0.00829611330667198,"141010-14","Female"
141060,0.259212537869625,"141060-14","Female"
141070,0.064504728048975,"141070-14","Female"
141080,0.222803212062637,"141080-14","Female"
141100,0.307021210186631,"141100-14","Female"
141120,0,"141120-14","Female"
141130,0.00577643703867647,"141130-14","Female"
141150,0,"141150-14","Female"
141490,0.103215751937478,"141490-14","Female"
140050,0.192584141435337,"140050-14","Female"
140380,0.539894351514769,"140380-14","Female"
140480,0.398117445599122,"140480-14","Female"
140910,0,"140910-14","Female"
140100,0.060608786750739,"140100-15","Female"
141160,0,"141160-15","Female"
151110,0.363569000564961,"151110-15","Female"
141000,0.00790787502243446,"141000-15","Female"
140120,0,"140120-15","Female"
140560,0.0980063833409803,"140560-15","Female"
141490,0.155397279779592,"141490-15","Female"
140040,0,"140040-15","Female"
140060,0.202948982023999,"140060-15","Female"
140070,0.488215502017051,"140070-15","Female"
140290,0.211046343489321,"140290-15","Female"
140300,0,"140300-15","Female"
140320,0.0143990455264874,"140320-15","Female"
140340,0,"140340-15","Female"
140400,0.272094581372428,"140400-15","Female"
140600,0.162934610388645,"140600-15","Female"
140630,0.342377787417277,"140630-15","Female"
140650,0.346283530132296,"140650-15","Female"
140680,0.0179146904710399,"140680-15","Female"
140710,0.288662667133619,"140710-15","Female"
140800,0,"140800-15","Female"
140850,0.06188578981613,"140850-15","Female"
140890,0.158032359593138,"140890-15","Female"
140960,0.263348003918714,"140960-15","Female"
140980,0,"140980-15","Female"
141010,0.0541413197242569,"141010-15","Female"
141060,0.195791817591292,"141060-15","Female"
141070,0.217148506907279,"141070-15","Female"
141080,0.385139341313055,"141080-15","Female"
141100,0.254680515429709,"141100-15","Female"
141120,0,"141120-15","Female"
141130,0.169334893372851,"141130-15","Female"
141150,0,"141150-15","Female"
140940,0.217646466394734,"140940-15","Female"
140910,0.0194244227121516,"140910-15","Female"
140050,0.29480159718505,"140050-15","Female"
150360,0,"150360-15","Female"
140380,0.614991951171369,"140380-15","Female"
140480,0.421525911597712,"140480-15","Female"
150920,0.266005283927886,"150920-15","Female"
